method,duration,bias,cost,tau_p,tau_v
pHREML_wAKDEc,1,0.178285862,19.7851758,86164.091,3600
KDE,1,0.118287445,0.315474272,86164.091,3600
pHREML_AKDEc,1,0.358418422,21.80347347,86164.091,3600
AKDEc,1,0.094948091,12.91593814,86164.091,3600
AKDE,1,0.902862017,12.05862594,86164.091,3600
pHREML_AKDEc,1,0.779621411,21.31948519,86164.091,3600
AKDEc,1,0.515375121,12.5764761,86164.091,3600
pHREML_AKDEc,1,0.110241027,19.02066016,86164.091,3600
pHREML_wAKDEc,1,0.380350767,28.44678068,86164.091,3600
KDE,1,0.117274334,0.329003334,86164.091,3600
pHREML_wAKDEc,1,0.705619317,21.39154744,86164.091,3600
KDE,1,0.099270394,0.130260229,86164.091,3600
pHREML_AKDEc,1,0.861626313,20.07914281,86164.091,3600
AKDE,1,0.310360187,14.01168752,86164.091,3600
pHREML_wAKDEc,1,0.109940058,19.04325533,86164.091,3600
KDE,1,0.17886526,0.117286444,86164.091,3600
AKDE,1,0.334052985,14.89650464,86164.091,3600
AKDEc,1,0.195494742,15.19991827,86164.091,3600
AKDE,1,0.374488742,16.19851184,86164.091,3600
pHREML_wAKDEc,1,0.897784226,20.60334778,86164.091,3600
KDE,1,0.208493395,0.120923996,86164.091,3600
AKDEc,1,0.204469303,15.31368756,86164.091,3600
AKDEc,1,0.235785468,15.11782074,86164.091,3600
AKDE,1,0.497638512,15.12218094,86164.091,3600
pHREML_AKDEc,1,0.259567735,26.22643566,86164.091,3600
AKDEc,1,0.308089042,15.11051369,86164.091,3600
pHREML_AKDEc,1,0.231412753,35.54619026,86164.091,3600
pHREML_AKDEc,1,0.273644551,20.38018632,86164.091,3600
pHREML_wAKDEc,1,0.258935668,20.73097324,86164.091,3600
KDE,1,0.341446206,0.324092865,86164.091,3600
pHREML_AKDEc,1,0.366623735,27.27228355,86164.091,3600
pHREML_wAKDEc,1,0.271994038,31.91563249,86164.091,3600
KDE,1,0.163613918,0.127290487,86164.091,3600
pHREML_wAKDEc,1,0.218592844,30.08283043,86164.091,3600
KDE,1,0.064644661,0.125751495,86164.091,3600
AKDE,1,1.013167745,12.74584651,86164.091,3600
AKDE,1,0.453520274,12.14732623,86164.091,3600
AKDE,1,0.12736382,12.61478972,86164.091,3600
